"Отметка времени","Вкажіть ваш вік","Вас влаштовує ваш сон?","Чи хотіли б Ви спостерігати за вашим сном, мати доступ до історії сну, бачити тривалість сну, оцінювати та спостерігати за зміною його якості?","Чи хотіли б Ви  за допомогою мобільного додатку спостерігати за вашим сном?","Чи хотіли б Ви мати можливість редагувати внесені дані? ","Чи хотіли б Ви отримувати повідомлення про наближення часу для засинання?","Оберіть які б функції Ви додали в програму?","Оберіть які кольори на Вашу думку найкраще підійдуть для мобільного додатку?","Чому на Вашу думку слід приділити увагу в дизайні?","Оберіть чого ви очікуєте від даної програми","Чи готові ви платити за послугу відстеження вашого сну?","","",""
"2022/09/22 9:00:20 AM GMT+3","25-40","часто","ні","","так","так","Чтоб можно было не искать кнопку на телефоне, а, например, 2 или 3 раза ударить по телефону, и, благодаря, анализу звука, это было зафиксировано  воспринималось программой, что человек в этот момент еше не спит.","синій","простоті інтерфейсу","наблюдения за сном","ні","так","так","ні, майже ніколи"
"2022/09/26 4:14:07 PM GMT+3","до 18","так","так","так","так","так","будильник;музикальний супровід для покращення сну;Визначення моменту початку сну;Отримання рекомендацій щодо підготовки до сну","білий;чорний","простоті інтерфейсу;кількості контенту;зовнішньому вигляду","Побудова правильного графіку сну;Вирішення проблем зі сном","не впевнений","","",""
"2022/09/26 4:15:07 PM GMT+3","18-25","ні","так","так","так","так","будильник;музикальний супровід для покращення сну;Визначення моменту початку сну;Визначення мометну початку сну заналізу даних із фітнестрекера;Визначення моменту початку сну з аналізу даних з інших приладів;Отримання рекомендацій щодо підготовки до сну","синій;чорний","простоті інтерфейсу","Підвищення ефективності сну;Спостереження за історією сну","не впевнений","","",""
"2022/09/26 4:16:20 PM GMT+3","18-25","не впевнений","так","так","так","так","будильник;Визначення моменту початку сну;Визначення мометну початку сну заналізу даних із фітнестрекера;Отримання рекомендацій щодо підготовки до сну","фіолетовий;чорний","простоті інтерфейсу","Побудова правильного графіку сну;Спостереження за історією сну","так","","",""
"2022/09/26 4:17:12 PM GMT+3","18-25","так","не впевнений","не впевнений","так","так","будильник;Визначення моменту початку сну з аналізу звуків;Визначення мометну початку сну заналізу даних із фітнестрекера;Визначення моменту початку сну з аналізу даних з інших приладів;Отримання рекомендацій щодо підготовки до сну","синій;білий;блакитний","простоті інтерфейсу","Вирішення проблем зі сном;Спостереження за історією сну","ні","","",""
"2022/09/26 4:21:41 PM GMT+3","18-25","так","так","так","так","ні","Визначення моменту початку сну","синій;фіолетовий;чорний","простоті інтерфейсу","Підвищення ефективності сну","не впевнений","","",""
"2022/09/26 6:53:52 PM GMT+3","18-25","не впевнений","так","так","так","так","Визначення моменту початку сну;Визначення моменту початку сну з аналізу звуків;Визначення моменту початку сну з аналізу даних з інших приладів","синій;фіолетовий;чорний","простоті інтерфейсу","Побудова правильного графіку сну;Вирішення проблем зі сном;Підвищення ефективності сну","не впевнений","","",""
"2022/09/26 9:14:06 PM GMT+3","18-25","так","ні","ні","ні","ні","Визначення моменту початку сну;Визначення моменту початку сну з аналізу звуків","білий;чорний","простоті інтерфейсу","Спостереження за історією сну","не впевнений","","",""
"2022/09/27 7:59:59 AM GMT+3","18-25","так","ні","ні","ні","ні","будильник","фіолетовий;чорний","простоті інтерфейсу","Спостереження за історією сну","ні","","",""
"2022/09/27 6:15:53 PM GMT+3","до 18","ні","так","так","так","так","будильник;музикальний супровід для покращення сну;Визначення моменту початку сну;Визначення моменту початку сну з аналізу звуків;Визначення мометну початку сну заналізу даних із фітнестрекера;Визначення моменту початку сну з аналізу даних з інших приладів;Отримання рекомендацій щодо підготовки до сну","синій","простоті інтерфейсу;кількості контенту;зовнішньому вигляду","Побудова правильного графіку сну;Підвищення ефективності сну;Спостереження за історією сну","не впевнений","","",""
